Date,USD
1999-01-20,1.1575
1999-02-17,1.1253
1999-03-24,1.0928
1999-04-21,1.0586
1999-05-19,1.0634
1999-06-23,1.028
1999-07-21,1.0462
1999-08-18,1.0517
1999-09-22,1.0509
1999-10-20,1.0777
1999-11-17,1.0408
1999-12-22,1.0074
2000-01-19,1.0105
2000-02-16,0.9804
2000-03-22,0.9603
2000-04-19,0.9461
2000-05-24,0.9098
2000-06-21,0.947
2000-07-19,0.9216
2000-08-23,0.8918
2000-09-20,0.8476
2000-10-18,0.8525
2000-11-22,0.8429
2000-12-20,0.9059
2001-01-24,0.9294
2001-02-21,0.9146
2001-03-21,0.899
2001-04-18,0.8778
2001-05-23,0.8585
2001-06-20,0.8513
2001-07-18,0.863
2001-08-22,0.9216
2001-09-19,0.9258
2001-10-24,0.8917
2001-11-21,0.8791
2001-12-12,0.8938
2002-01-23,0.8856
2002-02-20,0.8743
2002-03-20,0.8814
2002-04-17,0.888
2002-05-22,0.926
2002-06-19,0.9561
2002-07-24,0.9915
2002-08-21,0.9762
2002-09-18,0.9725
2002-10-23,0.9775
2002-11-20,1.0019
2002-12-11,1.0067
2003-01-22,1.0718
2003-02-19,1.0717
2003-03-19,1.057
2003-04-23,1.0944
2003-05-21,1.1689
2003-06-18,1.1699
2003-07-23,1.1401
2003-08-20,1.1109
2003-09-17,1.1212
2003-10-22,1.1694
2003-11-19,1.191
2003-12-24,1.2407
2004-01-21,1.2607
2004-02-18,1.2824
2004-03-24,1.2196
2004-04-21,1.1836
2004-05-19,1.1989
2004-06-23,1.2087
2004-07-21,1.2296
2004-08-18,1.2331
2004-09-22,1.2245
2004-10-20,1.259
2004-11-17,1.3026
2004-12-22,1.3384
2005-01-19,1.3083
2005-02-16,1.304
2005-03-23,1.305
2005-04-20,1.3049
2005-05-18,1.2621
2005-06-22,1.2111
2005-07-20,1.2063
2005-08-24,1.2211
2005-09-21,1.2225
2005-10-19,1.195
2005-11-23,1.1776
2005-12-21,1.1872
2006-01-18,1.2125
2006-02-15,1.1904
2006-03-22,1.2069
2006-04-19,1.2346
2006-05-24,1.2851
2006-06-21,1.2632
2006-07-19,1.2482
2006-08-23,1.2812
2006-09-20,1.2676
2006-10-18,1.2543
2006-11-22,1.2886
2006-12-20,1.3203
2007-01-24,1.3005
2007-02-21,1.3145
2007-03-21,1.3293
2007-04-18,1.3577
2007-05-23,1.349
2007-06-20,1.3427
2007-07-18,1.3779
2007-08-22,1.3493
2007-09-19,1.3975
2007-10-24,1.423
2007-11-21,1.4814
2007-12-12,1.4675
2008-01-23,1.4574
2008-02-20,1.4656
2008-03-19,1.5692
2008-04-23,1.594
2008-05-21,1.5753
2008-06-18,1.5493
2008-07-23,1.5741
2008-08-20,1.4734
2008-09-17,1.4224
2008-10-22,1.2843
2008-11-19,1.2634
2008-12-24,1.4005
2009-01-21,1.291
2009-02-18,1.2596
2009-03-18,1.313
2009-04-22,1.2947
2009-05-20,1.369
2009-06-17,1.384
2009-07-22,1.4191
2009-08-19,1.4112
2009-09-23,1.4783
2009-10-21,1.4921
2009-11-18,1.4957
2009-12-23,1.4276
2010-01-20,1.4132
2010-02-17,1.3726
2010-03-24,1.3338
2010-04-21,1.3373
2010-05-19,1.227
2010-06-23,1.2271
2010-07-21,1.2817
2010-08-18,1.288
2010-09-22,1.3364
2010-10-20,1.3861
2010-11-17,1.3481
2010-12-22,1.3112
2011-01-19,1.3506
2011-02-16,1.351
2011-03-23,1.4136
2011-04-20,1.4515
2011-05-18,1.4227
2011-06-22,1.4397
2011-07-20,1.4207
2011-08-24,1.4433
2011-09-21,1.3636
2011-10-19,1.3828
2011-11-23,1.3387
2011-12-21,1.3054
2012-01-18,1.2831
2012-02-22,1.323
2012-03-21,1.3225
2012-04-18,1.3093
2012-05-23,1.2659
2012-06-20,1.2704
2012-07-18,1.2234
2012-08-22,1.2448
2012-09-19,1.3002
2012-10-24,1.2942
2012-11-21,1.2805
2012-12-12,1.304
2013-01-23,1.333
2013-02-20,1.337
2013-03-20,1.2945
2013-04-17,1.3129
2013-05-22,1.2923
2013-06-19,1.3406
2013-07-24,1.3246
2013-08-21,1.3384
2013-09-18,1.3352
2013-10-23,1.3752
2013-11-20,1.3527
2013-12-11,1.3767
2014-01-22,1.3566
2014-02-19,1.3745
2014-03-19,1.3913
2014-04-23,1.3834
2014-05-21,1.3676
2014-06-18,1.3563
2014-07-23,1.3465
2014-08-20,1.3284
2014-09-17,1.2956
2014-10-22,1.2693
2014-11-19,1.2535
2014-12-24,1.2219
2015-01-21,1.1593
2015-02-18,1.1372
2015-03-18,1.0592
2015-04-22,1.0743
2015-05-20,1.1118
2015-06-17,1.1279
2015-07-22,1.0902
2015-08-19,1.1041
2015-09-23,1.115
2015-10-21,1.1354
2015-11-18,1.0666
2015-12-23,1.0916
2016-01-20,1.0907
2016-02-17,1.1136
2016-03-23,1.1171
2016-04-20,1.1379
2016-05-18,1.1279
2016-06-22,1.1283
2016-07-20,1.1013
2016-08-24,1.1268
2016-09-21,1.115
2016-10-19,1.0979
2016-11-23,1.0602
2016-12-21,1.0421
2017-01-18,1.0664
2017-02-15,1.0555
2017-03-22,1.0807
2017-04-19,1.0725
2017-05-24,1.1193
2017-06-21,1.1147
2017-07-19,1.1533
2017-08-23,1.1799
2017-09-20,1.2007
2017-10-18,1.1749
2017-11-22,1.1749
2017-12-20,1.1845
2018-01-24,1.2352
2018-02-21,1.2312
2018-03-21,1.2286
2018-04-18,1.2388
2018-05-23,1.1708
2018-06-20,1.1578
2018-07-18,1.1611
2018-08-22,1.1616
2018-09-19,1.1667
2018-10-24,1.1389
2018-11-21,1.1409
2018-12-12,1.1346
2019-01-23,1.1367
2019-02-20,1.1342
2019-03-20,1.1354
2019-04-17,1.1301
2019-05-22,1.1171
2019-06-19,1.1207
2019-07-24,1.114
2019-08-21,1.1104
2019-09-18,1.1053
2019-10-23,1.1123
2019-11-20,1.1059
2019-12-11,1.1075
2020-01-22,1.1088
2020-02-19,1.08
2020-03-18,1.0934
2020-04-22,1.0867
2020-05-20,1.0958
2020-06-17,1.1232
2020-07-22,1.1578
2020-08-19,1.1933
2020-09-23,1.1692
2020-10-21,1.1852
2020-11-18,1.1868
2020-12-23,1.2166
2021-01-20,1.2101
2021-02-17,1.206
2021-03-24,1.1825
2021-04-21,1.2007
2021-05-19,1.2212
2021-06-23,1.1951
2021-07-21,1.1772
2021-08-18,1.1723
2021-09-22,1.1729
2021-10-20,1.1623
2021-11-17,1.1316
2021-12-22,1.1301
2022-01-19,1.1345
2022-02-16,1.1372
2022-03-23,1.0985
2022-04-20,1.083
2022-05-18,1.0523
2022-06-22,1.0521
2022-07-20,1.0199
2022-08-24,0.9934
2022-09-21,0.9906
2022-10-19,0.9778
2022-11-23,1.0325
2022-12-21,1.0636
2023-01-18,1.0839
2023-02-15,1.07
2023-03-22,1.0785
2023-04-19,1.0933
2023-05-24,1.0785
2023-06-21,1.0923
2023-07-19,1.1222
2023-08-23,1.0805
2023-09-20,1.0702
2023-10-18,1.0565
2023-11-22,1.0911
2023-12-20,1.0944
2024-01-24,1.0905
2024-02-21,1.0809
2024-03-20,1.0844
2024-04-17,1.0638
2024-05-22,1.083
2024-06-19,1.0749
2024-07-24,1.0848
2024-08-21,1.1116
2024-09-18,1.1124
2024-10-23,1.0767
2024-11-20,1.0562
2024-12-11,1.0507
2025-01-22,1.0443
2025-02-19,1.0434
2025-03-19,1.0897
2025-04-23,1.1415
2025-05-21,1.1321
2025-06-18,1.1508
2025-07-23,1.1726
2025-08-20,1.1651
2025-09-17,1.1837
2025-10-22,1.1587
2025-11-19,1.1583
2025-12-24,1.1787
2026-01-21,1.1739
2026-02-18,1.1845
2026-03-18,1.15
2026-04-22,1.1733
